PeakID (cmd=annotatePeaks.pl Homer_mMET.txt mm8)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak7133	chr3	123499092	123501455	+	0	NA	promoter-TSS (NR_028574)	promoter-TSS (NR_028574)	85	NR_028574	69895	Mm.260791	NR_028574	ENSMUSG00000104960	Snhg8	1110065M07Rik|2010109N14Rik	small nucleolar RNA host gene 8	ncRNA
Peak3483	chr14	74487519	74489080	+	0	NA	intron (NM_177381, intron 1 of 22)	CpG	349	NM_177381	338337	Mm.86507	NM_177381	ENSMUSG00000034893	Cog3	E430004N23	component of oligomeric golgi complex 3	protein-coding
Peak6589	chr2	167229342	167230502	+	0	NA	exon (NM_011427, exon 2 of 3)	exon (NM_011427, exon 2 of 3)	490	NM_011427	20613	Mm.2093	NM_011427	ENSMUSG00000042821	Snai1	AI194338|Sna|Sna1|Snail|Snail1	snail family zinc finger 1	protein-coding
Peak7232	chr4	3604734	3606803	+	0	NA	intron (NM_001111096, intron 1 of 12)	CpG	500	NM_010747	17096	Mm.317331	NM_010747	ENSMUSG00000042228	Lyn	AA407514|Hck-2|p53Lyn|p56Lyn	Yamaguchi sarcoma viral (v-yes-1) oncogene homolog	protein-coding
Peak3321	chr14	50940781	50943026	+	0	NA	promoter-TSS (NM_001253694)	promoter-TSS (NM_001253694)	-239	NM_001253694	69890	Mm.475652	NM_027248	ENSMUSG00000049295	Zfp219	2010302A17Rik	zinc finger protein 219	protein-coding
Peak6517	chr2	156768738	156771145	+	0	NA	exon (NM_001164663, exon 1 of 15)	exon (NM_001164663, exon 1 of 15)	765	NM_001164663	320706	Mm.79466	NM_001164663		Soga1	9830001H06Rik|AI426038|D430036N24Rik|Soga	suppressor of glucose, autophagy associated 1	protein-coding
Peak4970	chr17	78924696	78926382	+	0	NA	intron (NM_001171004, intron 1 of 18)	CpG	335	NM_001171004	75292	Mm.252776	NM_029239	ENSMUSG00000024070	Prkd3	4930557O20Rik|5730497N19Rik|PKD3|Pkcnu|Prkcn	protein kinase D3	protein-coding
Peak11071	chr9	55839723	55840809	+	0	NA	exon (NM_001278274, exon 1 of 2)	exon (NM_001278274, exon 1 of 2)	284	NM_011992	26611	Mm.1782	NM_011992	ENSMUSG00000032320	Rcn2	AA408742|Tcbp49	reticulocalbin 2	protein-coding
Peak8719	chr5	145484245	145486587	+	0	NA	intron (NM_001083958, intron 1 of 4)	CpG	130	NM_028298	72611	Mm.206555	NM_028298	ENSMUSG00000007812	Zfp655	2700038I16Rik|9030409O18Rik|mKIAA4222	zinc finger protein 655	protein-coding
Peak9486	chr7	24302233	24303805	+	0	NA	intron (NM_023154, intron 2 of 7)	intron (NM_023154, intron 2 of 7)	-6618	NM_001033205	101544	Mm.20117	NM_001033205	ENSMUSG00000066721	Zfp575	AI326876|Znf575	zinc finger protein 575	protein-coding
Peak3963	chr15	98953892	98955478	+	0	NA	promoter-TSS (NM_139140)	promoter-TSS (NM_139140)	-194	NM_139140	72572	Mm.276650	NM_139140	ENSMUSG00000051934	Spats2	2700012F11Rik|59kDa|Scr59|p59	spermatogenesis associated, serine-rich 2	protein-coding
Peak11657	chrX	95092674	95093949	+	0	NA	5' UTR (NM_001313755, exon 1 of 24)	5' UTR (NM_001313755, exon 1 of 24)	433	NM_052976	94190	Mm.33536	NM_052976		Ophn1	C130037N19Rik|Wtgr	oligophrenin 1	protein-coding
Peak7374	chr4	45318056	45318827	+	0	NA	intron (NM_027266, intron 1 of 8)	intron (NM_027266, intron 1 of 8)	173	NM_027266	69934	Mm.46761	NM_027266	ENSMUSG00000035601	Trmt10b	2610042J10Rik|Rg9mtd3|Rnmtd3	tRNA methyltransferase 10B	protein-coding
Peak5012	chr17	87189635	87193120	+	0	NA	promoter-TSS (NR_015506)	promoter-TSS (NR_015506)	165	NM_028639	225049	Mm.77396	NM_028639	ENSMUSG00000036918	Ttc7	1110035E02Rik|1700007L07Rik|Ttc7a|fsn|hea	tetratricopeptide repeat domain 7	protein-coding
Peak4843	chr17	46967892	46969583	+	0	NA	intron (NM_001081636, intron 1 of 6)	intron (NM_001081636, intron 1 of 6)	495	NM_001081635	12445	Mm.27291	NM_007632	ENSMUSG00000034165	Ccnd3	9230106B05Rik|AA682053|AL024085|AW146355|C78795	cyclin D3	protein-coding
Peak4375	chr16	90615579	90616915	+	0	NA	promoter-TSS (NM_025642)	promoter-TSS (NM_025642)	-17	NM_025642	66578	Mm.180363	NM_025642	ENSMUSG00000022978	Mis18a	2610039C10Rik|2810018N07Rik	MIS18 kinetochore protein homolog A (S. pombe)	protein-coding
Peak365	chr1	133790113	133791808	+	0	NA	intron (NM_001177628, intron 1 of 4)	CpG	499	NM_001177628	212980	Mm.200307	NM_145977	ENSMUSG00000026435	Slc45a3	2210413P12Rik|AU023994|AU043764|IPCA-6|PRST|Pcanap6	solute carrier family 45, member 3	protein-coding
Peak7211	chr3	152128495	152131524	+	0	NA	intron (NM_025926, intron 1 of 2)	intron (NM_025926, intron 1 of 2)	1222	NM_025926	67035	Mm.46746	NM_025926	ENSMUSG00000028035	Dnajb4	1700029A20Rik|2010306G19Rik|5730460G06Rik	DnaJ (Hsp40) homolog, subfamily B, member 4	protein-coding
Peak1121	chr10	94371449	94375226	+	0	NA	exon (NM_018797, exon 1 of 31)	exon (NM_018797, exon 1 of 31)	929	NM_018797	54712	Mm.256712	NM_018797	ENSMUSG00000074785	Plxnc1	2510048K12Rik|AW742158|CD232|Vespr	plexin C1	protein-coding
Peak9644	chr7	41165807	41167577	+	0	NA	promoter-TSS (NM_183167)	promoter-TSS (NM_183167)	-160	NM_001199330	233168	Mm.379390	NM_183167	ENSMUSG00000056383	AI987944	-	expressed sequence AI987944	protein-coding
Peak8898	chr6	47717919	47718900	+	0	NA	Intergenic	(GA)n|Simple_repeat|Simple_repeat	14829	NR_030485	735289		NR_030485	ENSMUSG00000076060	Mir704	Mirn704|mir-704|mmu-mir-704	microRNA 704	ncRNA
Peak8495	chr5	122632228	122633837	+	0	NA	promoter-TSS (NM_024216)	promoter-TSS (NM_024216)	-93	NM_024216	68080	Mm.266328	NM_024216	ENSMUSG00000029464	Gpn3	A930018B01Rik|Atpbd1c|D5Ertd708e	GPN-loop GTPase 3	protein-coding
Peak10499	chr8	77989214	77990822	+	0	NA	intron (NM_010442, intron 1 of 4)	intron (NM_010442, intron 1 of 4)	328	NM_010442	15368	Mm.276389	NM_010442	ENSMUSG00000005413	Hmox1	D8Wsu38e|HO-1|HO1|Hemox|Hmox|Hsp32	heme oxygenase 1	protein-coding
Peak7231	chr4	3501156	3502680	+	0	NA	promoter-TSS (NM_054089)	promoter-TSS (NM_054089)	-3	NM_028097	72098	Mm.441135	NM_028097	ENSMUSG00000028232	Tmem68	2010300G19Rik|AA408325|AW123402	transmembrane protein 68	protein-coding
Peak2667	chr12	113587821	113591497	+	0	NA	intron (NM_024223, intron 1 of 6)	intron (NM_024223, intron 1 of 6)	1615	NM_024223	68337	Mm.133825	NM_024223	ENSMUSG00000006356	Crip2	0610010I23Rik|AW743261|C77570|CRP2|CRP4|Crp|ESP1|Hlp	cysteine rich protein 2	protein-coding
Peak9362	chr7	4468421	4470124	+	0	NA	promoter-TSS (NM_026158)	promoter-TSS (NM_026158)	-6	NM_026158	67441	Mm.41385	NM_026158	ENSMUSG00000052605	Isoc2b	0610042E07Rik|AI553388|Isoc2	isochorismatase domain containing 2b	protein-coding
Peak5610	chr19	37238650	37241406	+	0	NA	exon (NM_198300, exon 2 of 11)	exon (NM_198300, exon 2 of 11)	1041	NR_045329	319931	Mm.446730	NR_045329	ENSMUSG00000097591	A330032B11Rik	-	RIKEN cDNA A330032B11 gene	ncRNA
Peak11076	chr9	56747942	56749711	+	0	NA	promoter-TSS (NM_178374)	promoter-TSS (NM_178374)	-235	NM_178374	66069	Mm.220984	NM_178374	ENSMUSG00000055334	Snupn	0610031A09Rik|Rnut1|Snupn1	snurportin 1	protein-coding
Peak8794	chr6	18798082	18799180	+	0	NA	promoter-TSS (NM_133939)	promoter-TSS (NM_133939)	-5	NM_133939	76522	Mm.275158	NM_133939	ENSMUSG00000044155	Lsm8	2010003I05Rik|AW214405|Naa38	LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)	protein-coding
Peak1381	chr11	23979705	23980085	+	0	NA	promoter-TSS (NM_001159290)	promoter-TSS (NM_001159290)	-800	NM_001159290	14025	Mm.53687	NM_016707	ENSMUSG00000000861	Bcl11a	2810047E18Rik|BCL-11A|Ctip1|D930021L15Rik|Evi9|Evi9a|Evi9b|Evi9c|mKIAA1809	B cell CLL/lymphoma 11A (zinc finger protein)	protein-coding
Peak2028	chr11	102044942	102046741	+	0	NA	TTS (NR_106179)	TTS (NR_106179)	399	NR_106179	102465892		NR_106179	ENSMUSG00000098863	Mir8101	Gm27705|mmu-mir-8101	microRNA 8101	ncRNA
Peak7590	chr4	115460732	115461334	+	0	NA	Intergenic	CpG	-23175	NM_130865	140477	Mm.213206	NM_130865	ENSMUSG00000028707	Dmbx1	Atx|Cdmx|Mbx|Otx3	diencephalon/mesencephalon homeobox 1	protein-coding
Peak5067	chr18	12448852	12449478	+	0	NA	promoter-TSS (NM_001190371)	promoter-TSS (NM_001190371)	91	NM_001190371	225187	Mm.53865	NM_001190371	ENSMUSG00000057766	Ankrd29	G630054C21|G630054C21Rik|Gm95	ankyrin repeat domain 29	protein-coding
Peak8279	chr5	88074556	88078355	+	0	NA	intron (NM_172881, intron 1 of 5)	intron (NM_172881, intron 1 of 5)	1034	NM_172881	243085	Mm.312095	NM_172881	ENSMUSG00000035811	Ugt2b35	C730031G17	UDP glucuronosyltransferase 2 family, polypeptide B35	protein-coding
Peak7809	chr4	133516916	133517918	+	0	NA	non-coding (NR_040435, exon 5 of 5)	non-coding (NR_040435, exon 5 of 5)	250	NM_024215	68040	Mm.300404	NM_024215	ENSMUSG00000028840	Zfp593	3110024A21Rik|AV062409|E130106C14Rik|ZNF593	zinc finger protein 593	protein-coding
Peak4336	chr16	59580931	59582053	+	0	NA	5' UTR (NM_019665, exon 1 of 8)	5' UTR (NM_019665, exon 1 of 8)	103	NM_019665	56297	Mm.392505	NM_019665	ENSMUSG00000022722	Arl6	1110018H24Rik|2210411E14Rik|BBS3	ADP-ribosylation factor-like 6	protein-coding
Peak4071	chr16	8585690	8588158	+	0	NA	intron (NM_025821, intron 1 of 3)	CpG	550	NM_025821	52502	Mm.142095	NM_025821	ENSMUSG00000008393	Carhsp1	1200011K09Rik|Crhsp-24|D16Ertd465e	calcium regulated heat stable protein 1	protein-coding
Peak9377	chr7	5933508	5934672	+	0	NA	promoter-TSS (NM_001033249)	promoter-TSS (NM_001033249)	-569	NM_001033249	213011	Mm.333558	NM_001033249	ENSMUSG00000030443	Zfp583	BC056221|Znf583	zinc finger protein 583	protein-coding
Peak4089	chr16	11821487	11823530	+	0	NA	intron (NR_033509, intron 2 of 2)	intron (NR_033509, intron 2 of 2)	493	NM_146067	223978	Mm.86360	NM_146067	ENSMUSG00000065979	Cpped1	C530044N13Rik	calcineurin-like phosphoesterase domain containing 1	protein-coding
Peak1507	chr11	54365341	54367493	+	0	NA	5' UTR (NM_175258, exon 1 of 28)	5' UTR (NM_175258, exon 1 of 28)	149	NM_001252496	192786	Mm.254404	NM_175258	ENSMUSG00000037533	Rapgef6	A530068K01|AI844632|BB085664|C030018K18Rik|PDZ-GEF2|Pdzgef2|RA-GEF-2|Ragef2|mKIAA4052	Rap guanine nucleotide exchange factor (GEF) 6	protein-coding
Peak3934	chr15	97533108	97534291	+	0	NA	intron (NM_028003, intron 1 of 16)	CpG	157	NM_028003	71919	Mm.12255	NM_028003	ENSMUSG00000022466	Rpap3	2310042P20Rik|D15Ertd682e	RNA polymerase II associated protein 3	protein-coding
Peak3108	chr13	108066541	108068391	+	0	NA	promoter-TSS (NM_025447)	promoter-TSS (NM_025447)	-48	NM_025447	66254	Mm.9563	NM_025447	ENSMUSG00000021692	Dimt1	1500031M22Rik|AV111347|Dimt1l	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)	protein-coding
Peak9398	chr7	11821457	11823388	+	0	NA	promoter-TSS (NM_009095)	promoter-TSS (NM_009095)	-68	NM_009095	20103	Mm.5291	NM_009095	ENSMUSG00000012848	Rps5	AA617411	ribosomal protein S5	protein-coding
Peak8712	chr5	145337064	145338364	+	0	NA	intron (NM_019767, intron 1 of 9)	intron (NM_019767, intron 1 of 9)	318	NM_019767	56443	Mm.371610	NM_019767	ENSMUSG00000029621	Arpc1a	0610010H08Rik|1110030K07Rik|41kDa|AA407347|Sid32|Sid329	actin related protein 2/3 complex, subunit 1A	protein-coding
Peak102	chr1	43771473	43772983	+	0	NA	promoter-TSS (NM_026430)	promoter-TSS (NM_026430)	26	NM_026430	67883	Mm.387202	NM_026430		Uxs1	1600025I13Rik|AI451869|AI649125|AW550562	UDP-glucuronate decarboxylase 1	protein-coding
Peak10642	chr8	107937374	107940570	+	0	NA	intron (NM_198672, intron 1 of 12)	intron (NM_198672, intron 1 of 12)	1244	NM_198672	382053	Mm.295534	NM_198672	ENSMUSG00000069922	Ces3a	Ces3|Ces31|Es31	carboxylesterase 3A	protein-coding
Peak11748	chrX	147141435	147142541	+	0	NA	Intergenic	Intergenic	-2010	NM_021523	59026	Mm.27372	NM_021523	ENSMUSG00000025261	Huwe1	5430439H10Rik|AU041296|Arf-bp1|C430014N20Rik|C80292|Gm1718|Ib772|LASU1|Mule|Ureb1	HECT, UBA and WWE domain containing 1	protein-coding
Peak6538	chr2	160578980	160580450	+	0	NA	intron (NM_001199118, intron 1 of 19)	intron (NM_001199118, intron 1 of 19)	106	NM_001199118	64899	Mm.292111	NM_022883	ENSMUSG00000027412	Lpin3	9130206L11Rik|AA438110|AV236139|mKIAA4023	lipin 3	protein-coding
Peak5900	chr2	29624421	29625384	+	0	NA	5' UTR (NM_011989, exon 1 of 13)	5' UTR (NM_011989, exon 1 of 13)	213	NM_011989	26569	Mm.330113	NM_011989	ENSMUSG00000059316	Slc27a4	BB144259|FATP4	solute carrier family 27 (fatty acid transporter), member 4	protein-coding
Peak8426	chr5	114436525	114437435	+	0	NA	intron (NM_133904, intron 1 of 51)	intron (NM_133904, intron 1 of 51)	10463	NM_133904	100705	Mm.81793	NM_133904	ENSMUSG00000042010	Acacb	AI597064|AW743042|Acc2|Accb	acetyl-Coenzyme A carboxylase beta	protein-coding
Peak10670	chr8	108830153	108832550	+	0	NA	exon (NM_008490, exon 3 of 6)	exon (NM_008490, exon 3 of 6)	1180	NM_008490	16816	Mm.1593	NM_008490	ENSMUSG00000035237	Lcat	AI046659|D8Wsu61e	lecithin cholesterol acyltransferase	protein-coding
Peak6716	chr3	28129312	28130665	+	0	NA	intron (NM_001164056, intron 1 of 26)	CpG	235	NM_001164056	18805	Mm.212039	NM_008875	ENSMUSG00000027695	Pld1	AA536939|C85393|Pld1a|Pld1b	phospholipase D1	protein-coding
Peak3917	chr15	91017442	91020050	+	0	NA	exon (NM_011994, exon 1 of 10)	exon (NM_011994, exon 1 of 10)	828	NM_011994	26874	Mm.295456	NM_011994	ENSMUSG00000055782	Abcd2	ABC39|ALDL1|ALDR|ALDRP	ATP-binding cassette, sub-family D (ALD), member 2	protein-coding
Peak2461	chr12	77684051	77685416	+	0	NA	intron (NM_206534, intron 1 of 3)	intron (NM_206534, intron 1 of 3)	320	NM_206534	211151	Mm.80970	NM_206534	ENSMUSG00000090258	Churc1	1700030P15Rik|My015|chch	churchill domain containing 1	protein-coding
Peak11549	chrX	33294875	33296342	+	0	NA	promoter-TSS (NM_029951)	promoter-TSS (NM_029951)	83	NM_029951	77644	Mm.290704	NM_029951	ENSMUSG00000006423	C330007P06Rik	-	RIKEN cDNA C330007P06 gene	protein-coding
Peak9475	chr7	23916217	23917267	+	0	NA	intron (NM_019940, intron 1 of 3)	intron (NM_019940, intron 1 of 3)	167	NM_019940	56707	Mm.448367	NM_019940	ENSMUSG00000087598	Zfp111	-	zinc finger protein 111	protein-coding
Peak11192	chr9	72835941	72837632	+	0	NA	promoter-TSS (NM_018889)	promoter-TSS (NM_018889)	45	NM_018889	55981	Mm.139905	NM_018889	ENSMUSG00000079469	Pigb	Pig-b	phosphatidylinositol glycan anchor biosynthesis, class B	protein-coding
Peak8743	chr5	149493691	149495957	+	0	NA	promoter-TSS (NM_001115153)	promoter-TSS (NM_001115153)	-85	NM_001115153	231915	Mm.29402	NM_001013378	ENSMUSG00000041264	Uspl1	E430026A01Rik	ubiquitin specific peptidase like 1	protein-coding
Peak7526	chr4	100760838	100763938	+	0	NA	intron (NM_146145, intron 1 of 24)	intron (NM_146145, intron 1 of 24)	826	NM_146145	16451	Mm.289657	NM_146145	ENSMUSG00000028530	Jak1	AA960307|BAP004|C130039L05Rik	Janus kinase 1	protein-coding
Peak1564	chr11	60232554	60234889	+	0	NA	promoter-TSS (NM_145427)	promoter-TSS (NM_145427)	381	NM_025757	66771	Mm.29950	NM_025757	ENSMUSG00000018415	Gid4	4933439F18Rik	GID complex subunit 4, VID24 homolog (S. cerevisiae)	protein-coding
Peak3829	chr15	81571997	81573577	+	0	NA	intron (NM_001081016, intron 1 of 22)	intron (NM_001081016, intron 1 of 22)	684	NM_001081016	20286	Mm.432075	NM_001081016	ENSMUSG00000022390	Zc3h7b	Gm627|Scrg3|Zc2h7b|mKIAA1031	zinc finger CCCH type containing 7B	protein-coding
Peak6048	chr2	62445959	62447737	+	0	NA	5' UTR (NM_001164477, exon 1 of 15)	5' UTR (NM_001164477, exon 1 of 15)	246	NM_027835	71586	Mm.136224	NM_027835	ENSMUSG00000026896	Ifih1	9130009C22Rik|Helicard|Hlcd|MDA5|RLR-2	interferon induced with helicase C domain 1	protein-coding
Peak9784	chr7	75483376	75487767	+	0	NA	intron (NM_029332, intron 7 of 36)	intron (NM_029332, intron 7 of 36)	156524	NM_029332	75547	Mm.216107	NM_029332	ENSMUSG00000066406	Akap13	1700026G02Rik|5730522G15Rik|5830460E08Rik|AKAP-Lbc|BRX|Ht31|LBC|PROTO-LB|PROTO-LBC	A kinase (PRKA) anchor protein 13	protein-coding
