PeakID (cmd=annotatePeaks.pl .Homer.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
11	chr1	954522	957341	+	0	NA	intron (NM_198576, intron 1 of 35)	CpG	428	NM_001305275	375790	Hs.273330	NM_198576	ENSG00000188157	AGRN	CMS8|CMSPPD	agrin	protein-coding
12	chr1	993522	996323	+	0	NA	Intergenic	CpG	14765	NM_001205252	401934	Hs.568137	NM_001205252		RNF223	-	ring finger protein 223	protein-coding
13	chr1	998849	999796	+	0	NA	Intergenic	Intergenic	10365	NM_001205252	401934	Hs.568137	NM_001205252		RNF223	-	ring finger protein 223	protein-coding
14	chr1	1003704	1005659	+	0	NA	Intergenic	CpG	5006	NM_001205252	401934	Hs.568137	NM_001205252		RNF223	-	ring finger protein 223	protein-coding
15	chr1	1008413	1009737	+	0	NA	intron (NM_001205252, intron 1 of 1)	intron (NM_001205252, intron 1 of 1)	612	NM_001205252	401934	Hs.568137	NM_001205252		RNF223	-	ring finger protein 223	protein-coding
16	chr1	1050254	1052498	+	0	NA	intron (NM_017891, intron 1 of 9)	CpG	360	NM_017891	54991	Hs.235095	NM_017891	ENSG00000131591	C1orf159	-	chromosome 1 open reading frame 159	protein-coding
17	chr1	1092510	1094198	+	0	NA	Intergenic	CpG	-9130	NR_029639	406984		NR_029639	ENSG00000207730	MIR200B	MIRN200B|mir-200b	microRNA 200b	ncRNA
18	chr1	1097674	1101042	+	0	NA	Intergenic	CpG	-3126	NR_029639	406984		NR_029639	ENSG00000207730	MIR200B	MIRN200B|mir-200b	microRNA 200b	ncRNA
19	chr1	1136644	1137214	+	0	NA	Intergenic	CpG	5160	NM_004195	8784	Hs.212680	NM_004195	ENSG00000186891	TNFRSF18	AITR|CD357|GITR|GITR-D	tumor necrosis factor receptor superfamily, member 18	protein-coding
20	chr1	1140535	1142957	+	0	NA	intron (NM_148901, intron 1 of 3)	CpG	343	NM_004195	8784	Hs.212680	NM_004195	ENSG00000186891	TNFRSF18	AITR|CD357|GITR|GITR-D	tumor necrosis factor receptor superfamily, member 18	protein-coding
21	chr1	1165859	1168461	+	0	NA	promoter-TSS (NM_080605)	promoter-TSS (NM_080605)	287	NM_016547	51150	Hs.42806	NM_016176	ENSG00000078808	SDF4	Cab45|SDF-4	stromal cell derived factor 4	protein-coding
22	chr1	1207559	1210265	+	0	NA	intron (NM_194458, intron 1 of 6)	CpG	322	NM_058167	118424	Hs.191987	NM_058167	ENSG00000160087	UBE2J2	NCUBE-2|NCUBE2|PRO2121	ubiquitin-conjugating enzyme E2, J2	protein-coding
23	chr1	1239871	1245704	+	0	NA	intron (NM_030649, intron 1 of 23)	CpG	482	NM_030649	116983	Hs.535257	NM_030649	ENSG00000131584	ACAP3	CENTB5	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	protein-coding
24	chr1	1258412	1261581	+	0	NA	promoter-TSS (NM_001029885)	promoter-TSS (NM_001029885)	71	NM_001256460	54973	Hs.6449	NM_017871	ENSG00000127054	CPSF3L	CPSF73L|INT11|INTS11|RC-68|RC68	cleavage and polyadenylation specific factor 3-like	protein-coding
25	chr1	1282467	1285452	+	0	NA	intron (NM_004421, intron 1 of 14)	CpG	533	NM_004421	1855	Hs.731450	NM_004421	ENSG00000107404	DVL1	DRS2|DVL|DVL1L1|DVL1P1	dishevelled segment polarity protein 1	protein-coding
26	chr1	1308874	1312373	+	0	NA	promoter-TSS (NM_001127230)	promoter-TSS (NM_001127230)	-43	NM_001127229	54998	Hs.632515	NM_017900	ENSG00000175756	AURKAIP1	AIP|AKIP|MRP-S38	aurora kinase A interacting protein 1	protein-coding
27	chr1	1333124	1336547	+	0	NA	promoter-TSS (NM_001039577)	promoter-TSS (NM_001039577)	-75	NR_015434	148413	Hs.741357	NR_015434	ENSG00000224870	LOC148413	-	uncharacterized LOC148413	ncRNA
28	chr1	1341033	1344243	+	0	NA	promoter-TSS (NM_017971)	promoter-TSS (NM_017971)	55	NM_017971	55052	Hs.182698	NM_017971	ENSG00000242485	MRPL20	L20mt|MRP-L20	mitochondrial ribosomal protein L20	protein-coding
29	chr1	1368503	1372653	+	0	NA	promoter-TSS (NM_199121)	promoter-TSS (NM_199121)	-325	NM_199121	64856	Hs.449009	NM_022834	ENSG00000179403	VWA1	WARP	von Willebrand factor A domain containing 1	protein-coding
30	chr1	1405837	1409284	+	0	NA	intron (NM_031921, intron 1 of 15)	CpG	396	NM_031921	83858	Hs.729021	NM_031921	ENSG00000160072	ATAD3B	AAA-TOB3|TOB3	ATPase family, AAA domain containing 3B	protein-coding
31	chr1	1446241	1449277	+	0	NA	promoter-TSS (NM_001170536)	promoter-TSS (NM_001170536)	-151	NM_001170536	55210	Hs.23413	NM_018188	ENSG00000197785	ATAD3A	-	ATPase family, AAA domain containing 3A	protein-coding
32	chr1	1508006	1511498	+	0	NA	intron (NM_014188, intron 1 of 4)	CpG	510	NM_014188	29101	Hs.30026	NM_014188	ENSG00000160075	SSU72	HSPC182|PNAS-120	SSU72 homolog, RNA polymerase II CTD phosphatase	protein-coding
33	chr1	1534628	1536136	+	0	NA	promoter-TSS (NM_001242659)	promoter-TSS (NM_001242659)	94	NM_001242659	643988	Hs.528816	NM_001242659	ENSG00000228594	C1orf233	-	chromosome 1 open reading frame 233	protein-coding
34	chr1	1549556	1552668	+	0	NA	promoter-TSS (NM_001170689)	promoter-TSS (NM_001170689)	-133	NM_001170689	142678	Hs.135805	NM_080875	ENSG00000197530	MIB2	ZZANK1|ZZZ5	mindbomb E3 ubiquitin protein ligase 2	protein-coding
35	chr1	1562226	1565209	+	0	NA	exon (NM_001170689, exon 14 of 18)	exon (NM_001170689, exon 14 of 18)	-3843	NM_006983	8510	Hs.192316	NM_006983	ENSG00000189409	MMP23B	MIFR|MIFR-1|MMP22|MMP23A	matrix metallopeptidase 23B	protein-coding
36	chr1	1589296	1591644	+	0	NA	intron (NM_033490, intron 5 of 18)	CpG	22311	NR_002946	8511	Hs.671760	NR_002946	ENSG00000215914	MMP23A	MIFR|MIFR-1|MMP21	matrix metallopeptidase 23A (pseudogene)	pseudo
37	chr1	1622734	1625990	+	0	NA	promoter-TSS (NM_001290264)	promoter-TSS (NM_001290264)	-119	NM_001110781	728661	Hs.655255	NM_001110781	ENSG00000189339	SLC35E2B	SLC35E2	solute carrier family 35, member E2B	protein-coding
38	chr1	1654519	1656782	+	0	NA	TTS (NM_001199787)	TTS (NM_001199787)	209	NM_033490	984	Hs.651228	NM_001787	ENSG00000248333	CDK11B	CDC2L1|CDK11|CDK11-p110|CDK11-p46|CDK11-p58|CLK-1|PITSLREA|PK58|p58|p58CDC2L1|p58CLK-1	cyclin-dependent kinase 11B	protein-coding
39	chr1	1676250	1678636	+	0	NA	promoter-TSS (NM_001199787)	promoter-TSS (NM_001199787)	-5	NM_001199787	9906	Hs.655255	NM_182838	ENSG00000215790	SLC35E2	-	solute carrier family 35, member E2	protein-coding
40	chr1	1708304	1711018	+	0	NA	intron (NM_001198994, intron 1 of 13)	CpG	248	NM_023018	65220	Hs.654792	NM_023018	ENSG00000008130	NADK	dJ283E3.1	NAD kinase	protein-coding
41	chr1	1820178	1824066	+	0	NA	intron (NM_001282538, intron 1 of 9)	CpG	434	NM_001282538	2782	Hs.430425	NM_002074	ENSG00000078369	GNB1	-	guanine nucleotide binding protein (G protein), beta polypeptide 1	protein-coding
42	chr1	1839092	1841611	+	0	NA	Intergenic	CpG	-5915	NM_138705	163688	Hs.85902	NM_138705	ENSG00000169885	CALML6	CAGLP	calmodulin-like 6	protein-coding
43	chr1	1849409	1851498	+	0	NA	intron (NM_178545, intron 2 of 4)	CpG-142	287	NM_178545	339456	Hs.123423	NM_178545	ENSG00000178821	TMEM52	-	transmembrane protein 52	protein-coding
44	chr1	1875301	1875973	+	0	NA	intron (NM_001304360, intron 21 of 38)	CpG	-24897	NM_178545	339456	Hs.123423	NM_178545	ENSG00000178821	TMEM52	-	transmembrane protein 52	protein-coding
45	chr1	1934556	1935669	+	0	NA	intron (NM_001304360, intron 1 of 38)	intron (NM_001304360, intron 1 of 38)	164	NM_001304360	85452	Hs.232092	NM_001003808	ENSG00000142609	CFAP74	C1orf222|KIAA1751	cilia and flagella associated protein 74	protein-coding
46	chr1	1950717	1951566	+	0	NA	intron (NM_000815, intron 1 of 8)	CpG	373	NM_000815	2563	Hs.113882	NM_000815	ENSG00000187730	GABRD	EIG10|EJM7|GEFSP5	gamma-aminobutyric acid (GABA) A receptor, delta	protein-coding
47	chr1	1980820	1983420	+	0	NA	exon (NM_002744, exon 1 of 18)	exon (NM_002744, exon 1 of 18)	211	NM_002744	5590	Hs.496255	NM_002744	ENSG00000067606	PRKCZ	PKC-ZETA|PKC2	protein kinase C, zeta	protein-coding
48	chr1	2120779	2121702	+	0	NA	intron (NM_001282670, intron 7 of 7)	CpG	4974	NM_001282671	199990	Hs.107101	NM_182533	ENSG00000162585	FAAP20	C1orf86|FP7162	Fanconi anemia core complex associated protein 20	protein-coding
49	chr1	2125092	2127028	+	0	NA	intron (NM_001282670, intron 5 of 7)	CpG	154	NM_001282671	199990	Hs.107101	NM_182533	ENSG00000162585	FAAP20	C1orf86|FP7162	Fanconi anemia core complex associated protein 20	protein-coding
50	chr1	2130256	2131736	+	0	NA	5' UTR (NM_001282670, exon 4 of 8)	5' UTR (NM_001282670, exon 4 of 8)	-4782	NR_046427	199990	Hs.107101	NM_182533	ENSG00000162585	FAAP20	C1orf86|FP7162	Fanconi anemia core complex associated protein 20	protein-coding
51	chr1	2135918	2137189	+	0	NA	intron (NM_001282670, intron 2 of 7)	(CCCCG)n|Simple_repeat|Simple_repeat	2619	NM_001146310	199990	Hs.107101	NM_182533	ENSG00000162585	FAAP20	C1orf86|FP7162	Fanconi anemia core complex associated protein 20	protein-coding
52	chr1	2143813	2144789	+	0	NA	promoter-TSS (NM_001282670)	promoter-TSS (NM_001282670)	-142	NM_001282670	199990	Hs.107101	NM_182533	ENSG00000162585	FAAP20	C1orf86|FP7162	Fanconi anemia core complex associated protein 20	protein-coding
53	chr1	2158072	2162477	+	0	NA	exon (NM_003036, exon 1 of 7)	exon (NM_003036, exon 1 of 7)	140	NM_003036	6497	Hs.656507	NM_003036	ENSG00000157933	SKI	SGS|SKV	SKI proto-oncogene	protein-coding
54	chr1	2245530	2247044	+	0	NA	Intergenic	CpG	37813	NR_024489	100129534	Hs.655313	NM_001127577	ENSG00000269896	LOC100129534	-	small nuclear ribonucleoprotein polypeptide N pseudogene	pseudo
55	chr1	2321315	2324552	+	0	NA	promoter-TSS (NM_007033)	promoter-TSS (NM_007033)	257	NR_125361	79906	Hs.642701	NM_024848	ENSG00000116151	MORN1	-	MORN repeat containing 1	protein-coding
56	chr1	2342849	2346147	+	0	NA	promoter-TSS (NM_153818)	promoter-TSS (NM_153818)	-488	NM_153818	5192	Hs.732228	NM_002617	ENSG00000157911	PEX10	NALD|PBD6A|PBD6B|RNF69	peroxisomal biogenesis factor 10	protein-coding
57	chr1	2398667	2399342	+	0	NA	5' UTR (NM_001303012, exon 1 of 22)	5' UTR (NM_001303012, exon 1 of 22)	106	NM_001303012	9651	Hs.170156	NM_014638	ENSG00000149527	PLCH2	PLC-L4|PLC-eta2|PLCL4|PLCeta2	phospholipase C, eta 2	protein-coding
58	chr1	2456287	2458454	+	0	NA	intron (NM_018216, intron 1 of 18)	CpG	697	NM_018216	55229	Hs.26156	NM_018216	ENSG00000157881	PANK4	-	pantothenate kinase 4	protein-coding
59	chr1	2477316	2480596	+	0	NA	Intergenic	Intergenic	-8848	NM_001297605	8764	Hs.512898	NM_003820	ENSG00000157873	TNFRSF14	ATAR|CD270|HVEA|HVEM|LIGHTR|TR2	tumor necrosis factor receptor superfamily, member 14	protein-coding
60	chr1	2516259	2519629	+	0	NA	promoter-TSS (NR_036637)	promoter-TSS (NR_036637)	45	NR_036638	127281	Hs.462033	NM_152371	ENSG00000157870	FAM213B	C1orf93	family with sequence similarity 213, member B	protein-coding
61	chr1	2572891	2575152	+	0	NA	intron (NM_001242672, intron 6 of 6)	intron (NM_001242672, intron 6 of 6)	-9540	NM_033467	79258	Hs.591453	NM_033467	ENSG00000142606	MMEL1	MMEL2|NEP2|NEPII|NL1|NL2|SEP	membrane metallo-endopeptidase-like 1	protein-coding
62	chr1	2984370	2987665	+	0	NA	intron (NM_022114, intron 1 of 16)	CpG	275	NM_199454	63976	Hs.99500	NM_022114	ENSG00000142611	PRDM16	CMD1LL|LVNC8|MEL1|PFM13	PR domain containing 16	protein-coding
63	chr1	3370071	3372549	+	0	NA	5' UTR (NM_014448, exon 1 of 15)	5' UTR (NM_014448, exon 1 of 15)	163	NM_014448	27237	Hs.87435	NM_014448	ENSG00000130762	ARHGEF16	GEF16|NBR	Rho guanine nucleotide exchange factor 16	protein-coding
64	chr1	3446735	3448369	+	0	NA	intron (NM_001409, intron 4 of 36)	CpG	29802	NR_030277	693135		NR_030277	ENSG00000207776	MIR551A	MIRN551A|mir-551a	microRNA 551a	ncRNA
65	chr1	3526503	3528801	+	0	NA	intron (NM_001409, intron 1 of 36)	CpG	407	NM_001409	1953	Hs.593645	NM_001409		MEGF6	EGFL3	multiple EGF-like-domains 6	protein-coding
66	chr1	3540018	3542604	+	0	NA	promoter-TSS (NM_182752)	promoter-TSS (NM_182752)	-245	NM_182752	127262	Hs.20529	NM_182752	ENSG00000158109	TPRG1L	FAM79A|h-mover|mover	tumor protein p63 regulated 1-like	protein-coding
67	chr1	3565464	3566873	+	0	NA	intron (NM_017818, intron 1 of 11)	intron (NM_017818, intron 1 of 11)	503	NM_017818	49856	Hs.31714	NM_017818	ENSG00000116213	WRAP73	WDR8	WD repeat containing, antisense to TP73	protein-coding
68	chr1	3568223	3570751	+	0	NA	intron (NM_001204187, intron 1 of 11)	CpG-281	358	NM_001204184	7161	Hs.192132	NM_005427	ENSG00000078900	TP73	P73	tumor protein p73	protein-coding
69	chr1	3688291	3690199	+	0	NA	promoter-TSS (NM_001163724)	promoter-TSS (NM_001163724)	-80	NM_001288583	388588	Hs.22047	NM_001163724	ENSG00000235169	SMIM1	Vel	small integral membrane protein 1 (Vel blood group)	protein-coding
70	chr1	3711193	3714217	+	0	NA	exon (NM_020710, exon 1 of 7)	exon (NM_020710, exon 1 of 7)	363	NM_020710	57470	Hs.268488	NM_020710		LRRC47	-	leucine rich repeat containing 47	protein-coding
71	chr1	3772285	3775273	+	0	NA	promoter-TSS (NM_014704)	promoter-TSS (NM_014704)	18	NM_014704	9731	Hs.133089	NM_014704	ENSG00000116198	CEP104	GlyBP|KIAA0562	centrosomal protein 104kDa	protein-coding
72	chr1	3815698	3818411	+	0	NA	promoter-TSS (NR_024455)	promoter-TSS (NR_024455)	86	NR_024455	100133612	Hs.307652	NR_024455	ENSG00000236423	LINC01134	-	long intergenic non-protein coding RNA 1134	ncRNA
73	chr1	6051097	6054411	+	0	NA	promoter-TSS (NR_111987)	promoter-TSS (NR_111987)	-221	NM_001291593	261734	Hs.462348	NM_015102	ENSG00000131697	NPHP4	POC10|SLSN4	nephronophthisis 4	protein-coding
74	chr1	6085090	6087020	+	0	NA	promoter-TSS (NM_003636)	promoter-TSS (NM_003636)	-18	NM_172130	8514	Hs.440497	NM_003636	ENSG00000069424	KCNAB2	AKR6A5|HKvbeta2|HKvbeta2.1|HKvbeta2.2|KCNA2B|KV-BETA-2	potassium channel, voltage gated subfamily A regulatory beta subunit 2	protein-coding
75	chr1	6239103	6240638	+	0	NA	intron (NM_015557, intron 1 of 41)	CpG	324	NM_015557	26038	Hs.522898	NM_015557	ENSG00000116254	CHD5	CHD-5	chromodomain helicase DNA binding protein 5	protein-coding
76	chr1	6257739	6260654	+	0	NA	intron (NM_000983, intron 1 of 3)	CpG	483	NM_000983	6146	Hs.515329	NM_000983	ENSG00000116251	RPL22	EAP|HBP15|HBP15/L22|L22	ribosomal protein L22	protein-coding
77	chr1	6264728	6267748	+	0	NA	promoter-TSS (NM_207396)	promoter-TSS (NM_207396)	49	NM_207396	388591	Hs.716549	NM_173795	ENSG00000158286	RNF207	C1orf188	ring finger protein 207	protein-coding
78	chr1	6294487	6296868	+	0	NA	promoter-TSS (NR_103534)	promoter-TSS (NR_103534)	367	NM_012405	23463	Hs.515688	NM_012405	ENSG00000116237	ICMT	HSTE14|MST098|MSTP098|PCCMT|PCMT|PPMT	isoprenylcysteine carboxyl methyltransferase	protein-coding
79	chr1	6302003	6302842	+	0	NA	Intergenic	CpG	-1830	NM_001024598	390992	Hs.532677	NM_001024598	ENSG00000173673	HES3	bHLHb43	hes family bHLH transcription factor 3	protein-coding
80	chr1	6305310	6306525	+	0	NA	TTS (NM_001024598)	TTS (NM_001024598)	1665	NM_001024598	390992	Hs.532677	NM_001024598	ENSG00000173673	HES3	bHLHb43	hes family bHLH transcription factor 3	protein-coding
81	chr1	6309063	6310218	+	0	NA	exon (NM_207370, exon 6 of 6)	exon (NM_207370, exon 6 of 6)	5388	NM_001024598	390992	Hs.532677	NM_001024598	ENSG00000173673	HES3	bHLHb43	hes family bHLH transcription factor 3	protein-coding
82	chr1	6319931	6321585	+	0	NA	intron (NM_207370, intron 1 of 5)	CpG	277	NM_207370	387509	Hs.531581	NM_207370	ENSG00000158292	GPR153	PGR1	G protein-coupled receptor 153	protein-coding
83	chr1	6451983	6454609	+	0	NA	intron (NM_007274, intron 1 of 8)	CpG	530	NM_007274	11332	Hs.126137	NM_007274	ENSG00000097021	ACOT7	ACH1|ACT|BACH|CTE-II|LACH|LACH1|hBACH	acyl-CoA thioesterase 7	protein-coding
84	chr1	6479116	6480962	+	0	NA	promoter-TSS (NM_019089)	promoter-TSS (NM_019089)	-60	NM_019089	54626	Hs.118727	NM_019089	ENSG00000069812	HES2	bHLHb40	hes family bHLH transcription factor 2	protein-coding
85	chr1	6483347	6486375	+	0	NA	promoter-TSS (NM_031475)	promoter-TSS (NM_031475)	13	NM_031475	83715	Hs.744222	NM_031475	ENSG00000187017	ESPN	DFNB36|LP2654	espin	protein-coding
86	chr1	6500116	6501123	+	0	NA	intron (NM_031475, intron 3 of 12)	CpG-331	-10663	NR_036218	100422975		NR_036218	ENSG00000265392	MIR4252	-	microRNA 4252	ncRNA
87	chr1	6506839	6509818	+	0	NA	intron (NM_031475, intron 7 of 12)	CpG	17927	NM_148965	8718	Hs.462529	NM_003790	ENSG00000215788	TNFRSF25	APO-3|DDR3|DR3|LARD|TNFRSF12|TR3|TRAMP|WSL-1|WSL-LR	tumor necrosis factor receptor superfamily, member 25	protein-coding
88	chr1	6530901	6532233	+	0	NA	exon (NM_001042663, exon 13 of 22)	exon (NM_001042663, exon 13 of 22)	-5312	NM_148970	8718	Hs.462529	NM_003790	ENSG00000215788	TNFRSF25	APO-3|DDR3|DR3|LARD|TNFRSF12|TR3|TRAMP|WSL-1|WSL-LR	tumor necrosis factor receptor superfamily, member 25	protein-coding
89	chr1	6549069	6552432	+	0	NA	promoter-TSS (NM_001265594)	promoter-TSS (NM_001265594)	-96	NM_001265594	57449	Hs.284232	NM_020631	ENSG00000171680	PLEKHG5	CMTRIC|DSMA4|GEF720|Syx|Tech	pleckstrin homology domain containing, family G (with RhoGef domain) member 5	protein-coding
90	chr1	6556414	6558392	+	0	NA	promoter-TSS (NM_001042663)	promoter-TSS (NM_001042663)	81	NM_001042663	57449	Hs.284232	NM_020631	ENSG00000171680	PLEKHG5	CMTRIC|DSMA4|GEF720|Syx|Tech	pleckstrin homology domain containing, family G (with RhoGef domain) member 5	protein-coding
91	chr1	6612639	6614945	+	0	NA	intron (NM_024654, intron 1 of 11)	AluSc8|SINE|Alu	866	NM_024654	79707	Hs.59425	NM_024654	ENSG00000162408	NOL9	Grc3|NET6	nucleolar protein 9	protein-coding
92	chr1	6639432	6641668	+	0	NA	TTS (NM_177540)	TTS (NM_177540)	499	NM_001278647	3104	Hs.502330	NM_005341	ENSG00000204859	ZBTB48	HKR3|ZNF855|pp9964	zinc finger and BTB domain containing 48	protein-coding
93	chr1	6660602	6664427	+	0	NA	exon (NM_014851, exon 1 of 4)	exon (NM_014851, exon 1 of 4)	444	NM_014851	9903	Hs.7764	NM_014851	ENSG00000162413	KLHL21	-	kelch-like family member 21	protein-coding
94	chr1	6672429	6676091	+	0	NA	intron (NM_153812, intron 1 of 3)	CpG	504	NM_153812	148479	Hs.516079	NM_153812	ENSG00000116273	PHF13	PHF5|SPOC1	PHD finger protein 13	protein-coding
95	chr1	6684765	6686673	+	0	NA	intron (NM_138350, intron 1 of 4)	intron (NM_138350, intron 1 of 4)	509	NM_001195752	90326	Hs.689006	NM_138350	ENSG00000041988	THAP3	-	THAP domain containing, apoptosis associated protein 3	protein-coding
96	chr1	6760048	6762154	+	0	NA	intron (NM_018198, intron 1 of 15)	intron (NM_018198, intron 1 of 15)	865	NM_018198	55735	Hs.462640	NM_018198	ENSG00000007923	DNAJC11	dJ126A5.1	DnaJ (Hsp40) homolog, subfamily C, member 11	protein-coding
97	chr1	6843723	6846981	+	0	NA	promoter-TSS (NM_015215)	promoter-TSS (NM_015215)	-32	NM_015215	23261	Hs.397705	NM_015215	ENSG00000171735	CAMTA1	CANPMR	calmodulin binding transcription activator 1	protein-coding
98	chr1	7740096	7740565	+	0	NA	intron (NM_015215, intron 11 of 22)	CpG	-90999	NM_004781	9341	Hs.66708	NM_004781	ENSG00000049245	VAMP3	CEB	vesicle associated membrane protein 3	protein-coding
99	chr1	7763683	7765834	+	0	NA	intron (NM_015215, intron 11 of 22)	CpG	-66571	NM_004781	9341	Hs.66708	NM_004781	ENSG00000049245	VAMP3	CEB	vesicle associated membrane protein 3	protein-coding
100	chr1	7830978	7832696	+	0	NA	intron (NM_004781, intron 1 of 4)	CpG	508	NM_004781	9341	Hs.66708	NM_004781	ENSG00000049245	VAMP3	CEB	vesicle associated membrane protein 3	protein-coding
101	chr1	7843400	7844216	+	0	NA	promoter-TSS (NM_001289863)	promoter-TSS (NM_001289863)	-681	NM_001289862	8863	Hs.162200	NM_016831	ENSG00000049246	PER3	GIG13	period circadian clock 3	protein-coding
102	chr1	8013583	8015240	+	0	NA	Intergenic	CpG	-7303	NM_007262	11315	Hs.419640	NM_007262	ENSG00000116288	PARK7	DJ-1|DJ1|HEL-S-67p	parkinson protein 7	protein-coding
103	chr1	8020383	8023206	+	0	NA	promoter-TSS (NM_001123377)	promoter-TSS (NM_001123377)	80	NM_001123377	11315	Hs.419640	NM_007262	ENSG00000116288	PARK7	DJ-1|DJ1|HEL-S-67p	parkinson protein 7	protein-coding
104	chr1	8081111	8087787	+	0	NA	intron (NM_018948, intron 1 of 3)	intron (NM_018948, intron 1 of 3)	1944	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding
105	chr1	8377712	8379022	+	0	NA	intron (NM_001080397, intron 1 of 8)	CpG	222	NM_001080397	50651	Hs.463036	NM_001080397	ENSG00000162426	SLC45A1	DNB5	solute carrier family 45, member 1	protein-coding
106	chr1	8482545	8484816	+	0	NA	promoter-TSS (NM_001042682)	promoter-TSS (NM_001042682)	67	NM_001042682	473	Hs.463041	NM_012102	ENSG00000142599	RERE	ARG|ARP|ATN1L|DNB1	arginine-glutamic acid dipeptide (RE) repeats	protein-coding
107	chr1	8585379	8586133	+	0	NA	intron (NM_012102, intron 8 of 23)	intron (NM_012102, intron 8 of 23)	-30783	NR_132752	106632271		NR_132752		SNORD128	ZL43	small nucleolar RNA, C/D box 128	snoRNA
108	chr1	8762228	8764129	+	0	NA	intron (NM_001042681, intron 1 of 22)	CpG	114521	NM_012102	473	Hs.463041	NM_012102	ENSG00000142599	RERE	ARG|ARP|ATN1L|DNB1	arginine-glutamic acid dipeptide (RE) repeats	protein-coding
109	chr1	8876060	8878657	+	0	NA	5' UTR (NM_001042681, exon 1 of 23)	5' UTR (NM_001042681, exon 1 of 23)	341	NM_012102	473	Hs.463041	NM_012102	ENSG00000142599	RERE	ARG|ARP|ATN1L|DNB1	arginine-glutamic acid dipeptide (RE) repeats	protein-coding
110	chr1	8936237	8940012	+	0	NA	promoter-TSS (NR_038351)	promoter-TSS (NR_038351)	-770	NR_038351	100505975	Hs.429843	NR_038351	ENSG00000230679	ENO1-AS1	-	ENO1 antisense RNA 1	ncRNA
111	chr1	9187548	9189804	+	0	NA	intron (NM_024980, intron 1 of 3)	CpG	553	NM_024980	80045	Hs.632367	NM_024980		GPR157	-	G protein-coupled receptor 157	protein-coding
112	chr1	9240994	9243298	+	0	NA	promoter-TSS (NR_132738)	promoter-TSS (NR_132738)	-117	NR_132738	102724571	Hs.599298	NR_132738		LOC102724571	-	uncharacterized LOC102724571	ncRNA
